# Summary of NMR spectra (SCF GIAO Method)
# Values for element H only
# Reference:  TMS B3LYP/6-311+G(2d,p) GIAO
# Reference shielding:  31.8821 ppm
# Degenerate peaks are condensed together (Degeneracy Tolerance 0.05)
#
#        Shift (ppm)     Degeneracy  Atoms
        5.7319000000         1.0000  33
        5.1220000000         2.0000  52,51
        4.6586000000         1.0000  47
        3.5080000000         1.0000  36
        3.3958000000         1.0000  35
        2.9446000000         1.0000  44
        2.8297000000         1.0000  31
        2.7160000000         1.0000  53
        2.4353000000         1.0000  46
        2.2510000000         2.0000  49,38
        2.0949000000         2.0000  34,30
        1.9706000000         1.0000  42
        1.8505000000         1.0000  50
        1.7426000000         4.0000  60,45,48,59
        1.5339000000         1.0000  61
        1.4527000000         1.0000  57
        1.3551000000         1.0000  54
        1.2411000000         1.0000  58
        1.1035000000         2.0000  37,64
        1.0167500000         2.0000  43,56
        0.8922500000         2.0000  55,40
        0.7530500000         2.0000  41,65
        0.6420500000         2.0000  39,63
